Type,m2_size,floor,maxfloor,metro,distance,district,applicant,price,string
2-к. квартира,65,5,18,Московские ворота ,6–10,nan,Агентство,55000,nan
2-к. квартира,46,5,9,Улица Дыбенко ,11–15,nan,Агентство,25000,nan
1-к. апартаменты,38,15,18,Приморская ,31,nan,Агентство,35000,nan
1-к. квартира,38,4,13,Комендантский проспект ,11–15,nan,Агентство,27000,nan
Квартира-студия,25,16,20,Комендантский проспект ,31,nan,Агентство,22000,nan
4-к. квартира,94,5,5,nan,nan,пос. Понтонный,Агентство,25000,nan
1-к. квартира,31,10,22,nan,nan,р-н Приморский,Агентство,25000,nan
1-к. квартира,35,14,14,Проспект Просвещения ,16–20,nan,Агентство,32000,nan
1-к. квартира,40.3,2,9,Проспект Ветеранов ,21–30,nan,Агентство,23000,nan
2-к. квартира,56,3,5,Приморская ,16–20,nan,Агентство,40000,nan
1-к. квартира,45,4,16,Проспект Славы ,11–15,nan,Агентство,24000,nan
1-к. квартира,31,3,5,Чёрная речка ,6–10,nan,Агентство,38000,nan
1-к. квартира,29.5,5,5,nan,nan,р-н Московский,Агентство,22000,nan
3-к. квартира,55,4,5,Нарвская ,21–30,nan,Агентство,37000,nan
Квартира-студия,26,5,19,Приморская ,31,nan,Агентство,25000,nan
Квартира-студия,27,6,15,Проспект Просвещения ,21–30,nan,Агентство,17000,nan
1-к. квартира,40,6,9,nan,nan,р-н Красносельский,Агентство,17000,nan
2-к. квартира,72.3,3,11,Василеостровская ,16–20,nan,Агентство,60000,nan
1-к. квартира,36,20,25,Площадь Мужества ,16–20,nan,Агентство,29000,nan
1-к. квартира,42,13,25,Проспект Просвещения ,6–10,nan,Агентство,29000,nan
2-к. квартира,42,4,9,Ленинский проспект ,11–15,nan,Агентство,40000,nan
1-к. квартира,30,4,5,Звёздная ,21–30,nan,Агентство,18000,nan
2-к. квартира,48,9,9,Приморская ,6–10,nan,Агентство,57500,nan
1-к. квартира,43,10,19,Московские ворота ,11–15,nan,Агентство,39000,nan
1-к. квартира,35,2,16,nan,nan,р-н Красносельский,Агентство,23000,nan
1-к. квартира,35,8,10,Фрунзенская ,11–15,nan,Агентство,40000,nan
2-к. квартира,48,5,6,Владимирская ,5,nan,Агентство,58000,nan
1-к. квартира,31,22,25,nan,nan,р-н Красногвардейский,Агентство,17000,nan
2-к. квартира,62,14,15,Приморская ,21–30,nan,Агентство,40000,nan
2-к. квартира,77,3,16,Проспект Просвещения ,21–30,nan,Агентство,45000,nan
Квартира-студия,24.4,8,22,Звёздная ,16–20,nan,Агентство,25000,nan
1-к. квартира,42.6,7,16,Звёздная ,16–20,nan,Агентство,35000,nan
2-к. квартира,56,3,4,Площадь Восстания ,5,nan,Агентство,65000,nan
1-к. квартира,34,4,24,Дунайская ,11–15,nan,Агентство,25000,nan
Квартира-студия,28,10,10,Фрунзенская ,11–15,nan,Агентство,38000,nan
3-к. квартира,70,4,10,Озерки ,6–10,nan,Агентство,36000,nan
1-к. квартира,40,7,17,Гражданский проспект ,31,nan,Агентство,19500,nan
3-к. квартира,68,2,24,Лесная ,21–30,nan,Агентство,52500,nan
9-к. квартира,61,5,9,Парнас ,21–30,nan,Агентство,40000,nan
2-к. квартира,50.9,5,16,Международная ,6–10,nan,Агентство,35000,nan
2-к. квартира,53,4,5,Удельная ,11–15,nan,Агентство,38000,nan
1-к. квартира,40,5,10,Улица Дыбенко ,21–30,nan,Агентство,33000,nan
5-к. квартира,118,25,26,Купчино ,31,nan,Агентство,54500,nan
1-к. квартира,50,3,22,Комендантский проспект ,31,nan,Агентство,69000,nan
2-к. квартира,51.4,2,16,Комендантский проспект ,6–10,nan,Агентство,40000,nan
3-к. квартира,70,7,12,Удельная ,21–30,nan,Агентство,45000,nan
1-к. квартира,45,11,12,Проспект Большевиков ,11–15,nan,Агентство,25000,nan
1-к. квартира,30,2,9,Площадь Мужества ,11–15,nan,Агентство,20000,nan
1-к. квартира,32,2,8,Политехническая ,21–30,nan,Агентство,23000,nan
1-к. квартира,36,2,13,Проспект Ветеранов ,31,nan,Агентство,24000,nan
1-к. квартира,37,16,17,Беговая ,21–30,nan,Агентство,28500,nan
1-к. квартира,45,6,9,Выборгская ,6–10,nan,Агентство,80000,nan
Квартира-студия,22,5,7,Чернышевская ,11–15,nan,Агентство,33000,nan
2-к. квартира,45,3,9,Проспект Большевиков ,16–20,nan,Агентство,30000,nan
3-к. квартира,85,3,5,Площадь Ленина ,5,nan,Агентство,50000,nan
1-к. квартира,41,5,6,Площадь Восстания ,11–15,nan,Агентство,55000,nan
Квартира-студия,24.6,5,5,nan,nan,р-н Московский,Агентство,14000,nan
2-к. квартира,66,11,25,Проспект Славы ,16–20,nan,Агентство,48000,nan
1-к. квартира,38.5,4,18,Звёздная ,11–15,nan,Агентство,30000,nan
1-к. квартира,34,10,12,nan,nan,пос. Новогорелово,Агентство,23000,nan
2-к. апартаменты,56,14,18,Бухарестская ,5,nan,Агентство,53000,nan
1-к. квартира,30,9,9,Купчино ,11–15,nan,Агентство,25000,nan
1-к. квартира,30,1,5,Ломоносовская ,21–30,nan,Агентство,17000,nan
2-к. квартира,77.4,1,10,Проспект Ветеранов ,6–10,nan,Агентство,40000,nan
2-к. квартира,100,5,6,Василеостровская ,6–10,nan,Агентство,75000,nan
Квартира-студия,28,10,10,Фрунзенская ,11–15,nan,Агентство,38000,nan
2-к. квартира,50,13,16,Звёздная ,6–10,nan,Агентство,33000,nan
3-к. квартира,55,2,5,Проспект Ветеранов ,31,nan,Агентство,28000,nan
1-к. квартира,44,13,22,Приморская ,21–30,nan,Агентство,26000,nan
1-к. квартира,37,6,10,nan,nan,р-н Красносельский,Агентство,32000,nan
1-к. квартира,45,13,18,Парк Победы ,6–10,nan,Агентство,40000,nan
1-к. квартира,32,1,5,Проспект Ветеранов ,5,nan,Агентство,25000,nan
Квартира-студия,23,1,21,Комендантский проспект ,31,nan,Агентство,19000,nan
Квартира-студия,21,7,14,Кировский завод ,5,nan,Агентство,21000,nan
Квартира-студия,27,8,8,nan,nan,р-н Красносельский,Агентство,14000,nan
2-к. квартира,53,2,15,Приморская ,6–10,nan,Агентство,40000,nan
2-к. квартира,52,3,4,Елизаровская ,16–20,nan,Агентство,30000,nan
1-к. квартира,35,1,3,Площадь Мужества ,31,nan,Агентство,21000,nan
Квартира-студия,26,5,17,Комендантский проспект ,31,nan,Агентство,25000,nan
Квартира-студия,27.5,10,24,Парнас ,11–15,nan,Агентство,24000,nan
1-к. квартира,40,8,16,Комендантский проспект ,16–20,nan,Агентство,24000,nan
2-к. квартира,86,5,5,Площадь А Невского II ,6–10,nan,Агентство,65000,nan
2-к. квартира,62,19,19,Фрунзенская ,6–10,nan,Агентство,60000,nan
2-к. квартира,65,7,17,Лесная ,6–10,nan,Агентство,65000,nan
4-к. квартира,99,8,12,nan,nan,пос. Шушары,Агентство,24900,nan
1-к. квартира,35.2,1,25,nan,nan,р-н Красносельский,Агентство,20000,nan
Квартира-студия,31,2,4,Выборгская ,6–10,nan,Агентство,28000,nan
Квартира-студия,22,1,4,Петроградская ,6–10,nan,Агентство,28000,nan
Квартира-студия,27,15,19,Комендантский проспект ,31,nan,Агентство,20000,nan
2-к. квартира,60,8,9,Проспект Ветеранов ,11–15,nan,Агентство,30000,nan
2-к. квартира,70,7,9,Площадь Восстания ,6–10,nan,Агентство,140000,nan
3-к. квартира,54.8,5,5,Нарвская ,6–10,nan,Агентство,35000,nan
2-к. квартира,75,1,6,Адмиралтейская ,16–20,nan,Агентство,120000,nan
1-к. квартира,28,1,10,Проспект Славы ,6–10,nan,Агентство,25000,nan
2-к. квартира,51,2,9,Комендантский проспект ,16–20,nan,Агентство,27000,nan
3-к. квартира,80,4,5,Московская ,6–10,nan,Агентство,52000,nan
1-к. квартира,30,7,24,Обухово ,31,nan,Агентство,22000,nan
Квартира-студия,27,17,19,Комендантский проспект ,31,nan,Агентство,20000,nan
1-к. квартира,40,10,16,Звёздная ,16–20,nan,Агентство,25000,nan
1-к. квартира,35,1,17,Елизаровская ,31,nan,Агентство,26000,nan
2-к. квартира,42,1,5,Проспект Ветеранов ,11–15,nan,Агентство,27000,nan
2-к. квартира,56,3,5,Удельная ,6–10,nan,Агентство,32000,nan
2-к. квартира,46,9,9,Проспект Большевиков ,21–30,nan,Агентство,30000,nan
5-к. квартира,180,4,4,Петроградская ,6–10,nan,Агентство,150000,nan
2-к. квартира,70,20,20,Приморская ,31,nan,Агентство,65000,nan
1-к. квартира,57,1,5,Чернышевская ,16–20,nan,Агентство,32000,nan
2-к. квартира,55,5,13,Новочеркасская ,11–15,nan,Агентство,55000,nan
Квартира-студия,25,2,25,Купчино ,31,nan,Агентство,18000,nan
Квартира-студия,35,3,11,Площадь Ленина ,31,nan,Агентство,40000,nan
1-к. квартира,40,3,22,Звёздная ,16–20,nan,Агентство,33000,nan
2-к. квартира,54.7,11,14,Проспект Большевиков ,6–10,nan,Агентство,28500,nan
1-к. квартира,48,9,17,Академическая ,16–20,nan,Агентство,40000,nan
1-к. квартира,48,4,9,Площадь А Невского II ,11–15,nan,Агентство,57000,nan
1-к. квартира,40,12,13,Комендантский проспект ,31,nan,Агентство,40000,nan
2-к. квартира,44,2,5,Улица Дыбенко ,16–20,nan,Агентство,30000,nan
Апартаменты-студия,15.2,3,5,Выборгская ,6–10,nan,Агентство,35000,nan
1-к. квартира,40,8,14,Рыбацкое ,11–15,nan,Агентство,22000,nan
1-к. квартира,45,9,10,nan,nan,Колпино,Агентство,18000,nan
Квартира-студия,27,13,24,Комендантский проспект ,21–30,nan,Агентство,26000,nan
1-к. квартира,35.6,13,16,Проспект Большевиков ,11–15,nan,Агентство,22000,nan
1-к. квартира,35,17,19,Звёздная ,21–30,nan,Агентство,25000,nan
Квартира-студия,27,5,11,Лиговский проспект ,6–10,nan,Агентство,48000,nan
2-к. квартира,50.3,2,10,Василеостровская ,21–30,nan,Агентство,45000,nan
2-к. квартира,61.5,22,25,Парнас ,6–10,nan,Агентство,29000,nan
2-к. квартира,55,2,12,Проспект Просвещения ,16–20,nan,Агентство,26000,nan
2-к. квартира,72,6,18,Академическая ,6–10,nan,Агентство,40000,nan
1-к. квартира,37,13,25,Гражданский проспект ,31,nan,Агентство,16000,nan
3-к. квартира,65,9,16,Ладожская ,31,nan,Агентство,30000,nan
10 и более-к. квартира,32.9,7,25,Комендантский проспект ,31,nan,Агентство,20000,nan
Апартаменты-студия,14,3,5,Обводный канал ,6–10,nan,Агентство,28000,nan
1-к. квартира,31.5,11,25,Комендантский проспект ,31,nan,Агентство,25000,nan
1-к. квартира,33.5,4,5,Рыбацкое ,31,nan,Агентство,17000,nan
Квартира-студия,25,1,25,nan,nan,р-н Приморский,Агентство,25000,nan
2-к. квартира,44,2,5,nan,nan,Пушкин,Агентство,18000,nan
Квартира-студия,30,8,20,Чёрная речка ,11–15,nan,Агентство,40000,nan
2-к. квартира,54,4,4,nan,nan,р-н Красносельский,Агентство,25000,nan
1-к. квартира,44,17,25,Комендантский проспект ,31,nan,Агентство,27000,nan
Квартира-студия,28,10,23,Обухово ,31,nan,Агентство,18000,nan
1-к. квартира,19,1,4,Кировский завод ,16–20,nan,Агентство,26000,nan
3-к. квартира,62,1,5,Политехническая ,11–15,nan,Агентство,30000,nan
1-к. квартира,42,5,12,Московская ,21–30,nan,Агентство,20000,nan
3-к. квартира,80,4,16,Комендантский проспект ,16–20,nan,Агентство,40000,nan
4-к. квартира,110,18,25,Чёрная речка ,16–20,nan,Агентство,80000,nan
2-к. квартира,50,1,3,Обводный канал ,6–10,nan,Агентство,35000,nan
2-к. квартира,61,17,19,Фрунзенская ,6–10,nan,Агентство,70000,nan
1-к. квартира,36,2,14,Улица Дыбенко ,16–20,nan,Агентство,22000,nan
1-к. квартира,42,12,16,Удельная ,11–15,nan,Агентство,28000,nan
Квартира-студия,27,9,12,nan,nan,р-н Красносельский,Агентство,18000,nan
1-к. квартира,34,5,13,Комендантский проспект ,31,nan,Агентство,30000,nan
1-к. квартира,41,4,27,Парнас ,21–30,nan,Агентство,20000,nan
1-к. квартира,42,12,16,Удельная ,11–15,nan,Агентство,28000,nan
Квартира-студия,27,9,12,nan,nan,р-н Красносельский,Агентство,18000,nan
3-к. квартира,72,18,19,Приморская ,31,nan,Агентство,60000,nan
1-к. квартира,34,5,13,Комендантский проспект ,31,nan,Агентство,30000,nan
1-к. квартира,41,4,27,Парнас ,21–30,nan,Агентство,20000,nan
2-к. квартира,45,19,23,Беговая ,11–15,nan,Агентство,48000,nan
6-к. квартира,150,2,5,Маяковская ,6–10,nan,Агентство,120000,nan
1-к. квартира,31,2,5,Звёздная ,11–15,nan,Агентство,20000,nan
1-к. квартира,37,9,9,Звёздная ,16–20,nan,Агентство,20000,nan
2-к. квартира,54,6,12,Василеостровская ,21–30,nan,Агентство,75000,nan
2-к. квартира,83.6,3,5,Чернышевская ,21–30,nan,Агентство,90000,nan
3-к. апартаменты,198.6,7,8,Балтийская ,11–15,nan,Агентство,260000,nan
1-к. квартира,32,10,12,Пионерская ,6–10,nan,Агентство,24000,nan
Квартира-студия,29,18,26,Парнас ,21–30,nan,Агентство,20000,nan
Квартира-студия,27,9,9,Удельная ,21–30,nan,Агентство,25000,nan
Квартира-студия,24.8,10,25,Комендантский проспект ,31,nan,Агентство,23000,nan
Квартира-студия,26,13,15,Елизаровская ,31,nan,Агентство,28000,nan
1-к. квартира,42,7,10,Площадь А Невского II ,16–20,nan,Агентство,45000,nan
2-к. квартира,43,8,25,Парнас ,21–30,nan,Агентство,30000,nan
1-к. квартира,35.5,3,22,Парнас ,21–30,nan,Агентство,20000,nan
1-к. квартира,38,17,21,Девяткино ,21–30,nan,Агентство,20000,nan
1-к. квартира,48,4,9,Площадь А Невского II ,11–15,nan,Агентство,57000,nan
4-к. квартира,133,3,5,Чернышевская ,16–20,nan,Агентство,110000,nan
1-к. квартира,32,4,9,Академическая ,11–15,nan,Агентство,25000,nan
Квартира-студия,40,1,5,Новочеркасская ,21–30,nan,Агентство,45000,nan
2-к. квартира,36,2,10,Приморская ,16–20,nan,Агентство,42000,nan
3-к. квартира,67,6,8,nan,nan,р-н Красносельский,Агентство,55000,nan
Квартира-студия,21,16,24,Комендантский проспект ,31,nan,Агентство,22000,nan
1-к. квартира,36,8,9,Ладожская ,31,nan,Агентство,18000,nan
2-к. квартира,46,4,5,Ладожская ,31,nan,Агентство,29000,nan
1-к. квартира,38.8,7,18,Беговая ,21–30,nan,Агентство,21000,nan
1-к. квартира,45.9,7,10,Чкаловская ,6–10,nan,Агентство,60000,nan
1-к. квартира,40,14,17,Проспект Большевиков ,16–20,nan,Агентство,30000,nan
2-к. квартира,60,10,11,Обводный канал ,16–20,nan,Агентство,60000,nan
2-к. квартира,50,3,4,Ладожская ,31,nan,Агентство,40000,nan
2-к. квартира,59,8,13,Проспект Ветеранов ,16–20,nan,Агентство,40000,nan
2-к. квартира,45,3,5,nan,nan,Кронштадт,Агентство,23000,nan
3-к. квартира,85,6,14,Проспект Ветеранов ,16–20,nan,Агентство,50000,nan
1-к. квартира,39.5,1,15,Звёздная ,31,nan,Агентство,28000,nan
1-к. квартира,31,20,26,Купчино ,31,nan,Агентство,25000,nan
1-к. квартира,38,3,13,Комендантский проспект ,31,nan,Агентство,30000,nan
2-к. квартира,60,5,7,Кировский завод ,6–10,nan,Агентство,35000,nan
1-к. квартира,30,4,10,Приморская ,31,nan,Агентство,45000,nan
1-к. квартира,39,5,12,Проспект Ветеранов ,31,nan,Агентство,20000,nan
3-к. квартира,60,3,3,Чернышевская ,6–10,nan,Агентство,60000,nan
1-к. квартира,31,1,4,Лиговский проспект ,6–10,nan,Агентство,25000,nan
1-к. квартира,28.5,5,5,nan,nan,пос. Шушары,Агентство,17000,nan
1-к. квартира,35,3,14,Ладожская ,31,nan,Агентство,20000,nan
1-к. квартира,37.5,7,12,Василеостровская ,21–30,nan,Агентство,50000,nan
2-к. квартира,50,6,6,Спортивная ,6–10,nan,Агентство,75000,nan
4-к. квартира,140,17,17,Проспект Просвещения ,6–10,nan,Агентство,80000,nan
2-к. квартира,47.9,4,9,Кировский завод ,11–15,nan,Агентство,30000,nan
1-к. квартира,40,9,9,Пионерская ,11–15,nan,Агентство,25000,nan
2-к. квартира,45,5,7,Садовая ,6–10,nan,Агентство,40000,nan
2-к. квартира,60.5,12,12,Звёздная ,21–30,nan,Агентство,50000,nan
Квартира-студия,18,2,6,Садовая ,5,nan,Агентство,35000,nan
1-к. квартира,41.5,5,13,Лесная ,6–10,nan,Агентство,45000,nan
1-к. квартира,45,3,5,Чернышевская ,11–15,nan,Агентство,55000,nan
1-к. квартира,31,5,5,nan,nan,пос. Шушары,Агентство,19000,nan
2-к. квартира,60,15,25,Звёздная ,11–15,nan,Агентство,30000,nan
Квартира-студия,21,1,5,Василеостровская ,5,nan,Агентство,29000,nan
1-к. квартира,49,19,25,Купчино ,6–10,nan,Агентство,28000,nan
2-к. квартира,50,1,5,Садовая ,11–15,nan,Агентство,50000,nan
3-к. квартира,105,5,10,Электросила ,5,nan,Агентство,70000,nan
1-к. квартира,30,7,9,nan,nan,р-н Красносельский,Агентство,18000,nan
1-к. апартаменты,40,6,11,Приморская ,16–20,nan,Агентство,66000,nan
Квартира-студия,24,4,13,Фрунзенская ,6–10,nan,Агентство,35900,nan
4-к. квартира,104,4,5,Невский проспект ,6–10,nan,Агентство,90000,nan
2-к. квартира,63,3,5,Гостиный двор ,11–15,nan,Агентство,45000,nan
2-к. квартира,38,2,4,Спортивная ,5,nan,Агентство,40000,nan
Квартира-студия,30,20,23,Парнас ,11–15,nan,Агентство,27000,nan
1-к. квартира,50,17,17,Международная ,6–10,nan,Агентство,38000,nan
2-к. квартира,125,1,4,nan,nan,Сестрорецк,Агентство,35000,nan
3-к. квартира,90,2,5,Новочеркасская ,6–10,nan,Агентство,55000,nan
1-к. квартира,33,4,5,Международная ,11–15,nan,Агентство,25000,nan
3-к. квартира,114,5,19,Пионерская ,5,nan,Агентство,58000,nan
3-к. квартира,55,3,8,Обводный канал ,11–15,nan,Агентство,72000,nan
2-к. квартира,72,7,9,Приморская ,11–15,nan,Агентство,60000,nan
5-к. квартира,540,1,6,Спортивная ,6–10,nan,Агентство,1620000,nan
Квартира-студия,24.5,7,20,nan,nan,р-н Приморский,Агентство,26000,nan
2-к. квартира,70,2,10,Фрунзенская ,11–15,nan,Агентство,120000,nan
2-к. квартира,48,4,14,Проспект Большевиков ,11–15,nan,Агентство,30000,nan
2-к. квартира,50,22,23,Елизаровская ,31,nan,Агентство,40000,nan
Апартаменты-студия,20,5,5,Выборгская ,6–10,nan,Агентство,36000,nan
2-к. квартира,45,6,8,Петроградская ,6–10,nan,Агентство,50000,nan
2-к. квартира,42,9,9,Проспект Ветеранов ,31,nan,Агентство,22000,nan
2-к. квартира,61,6,21,Приморская ,21–30,nan,Агентство,29000,nan
1-к. квартира,35,3,9,Ладожская ,31,nan,Агентство,25000,nan
1-к. квартира,37,5,14,Комендантский проспект ,16–20,nan,Агентство,35000,nan
1-к. квартира,40,11,16,nan,nan,р-н Красногвардейский,Агентство,35000,nan
2-к. квартира,59,8,13,Проспект Ветеранов ,16–20,nan,Агентство,40000,nan
1-к. квартира,45,12,17,Беговая ,21–30,nan,Агентство,38000,nan
Апартаменты-студия,27,9,10,Лиговский проспект ,6–10,nan,Агентство,52000,nan
2-к. квартира,51,16,23,Беговая ,16–20,nan,Агентство,35000,nan
1-к. квартира,37,6,13,Беговая ,16–20,nan,Агентство,28000,nan
4-к. квартира,70,1,5,Ленинский проспект ,6–10,nan,Агентство,40000,nan
Квартира-студия,27,9,21,Ладожская ,11–15,nan,Агентство,26000,nan
1-к. квартира,35,6,12,nan,nan,р-н Красносельский,Агентство,25000,nan
2-к. квартира,45,2,5,Чёрная речка ,16–20,nan,Агентство,30000,nan
1-к. квартира,32,4,9,nan,nan,Красное Село,Агентство,15000,nan
Апартаменты-студия,27,9,10,Лиговский проспект ,6–10,nan,Агентство,52000,nan
2-к. квартира,51,16,23,Беговая ,16–20,nan,Агентство,35000,nan
1-к. квартира,45,16,27,Парнас ,31,nan,Агентство,30000,nan
1-к. квартира,37,6,13,Беговая ,16–20,nan,Агентство,28000,nan
4-к. квартира,70,1,5,Ленинский проспект ,6–10,nan,Агентство,40000,nan
Квартира-студия,27,9,21,Ладожская ,11–15,nan,Агентство,26000,nan
2-к. квартира,45,2,5,Чёрная речка ,16–20,nan,Агентство,30000,nan
2-к. квартира,45,1,9,Ладожская ,21–30,nan,Агентство,21000,nan
Квартира-студия,25,5,5,Площадь Восстания ,16–20,nan,Агентство,35000,nan
3-к. квартира,76,5,7,Лесная ,11–15,nan,Агентство,40000,nan
1-к. квартира,36,3,12,Площадь Мужества ,6–10,nan,Агентство,25000,nan
1-к. квартира,42,3,5,Чернышевская ,6–10,nan,Агентство,50000,nan
Квартира-студия,23.4,4,14,Лесная ,11–15,nan,Агентство,46500,nan
Квартира-студия,25,9,12,Парк Победы ,21–30,nan,Агентство,32000,nan
Квартира-студия,30,2,5,Волковская ,6–10,nan,Агентство,20000,nan
1-к. квартира,32,4,9,nan,nan,Красное Село,Агентство,15000,nan
Квартира-студия,27,15,25,Рыбацкое ,31,nan,Агентство,18000,nan
Квартира-студия,30,8,15,nan,nan,пос. Новогорелово,Агентство,15000,nan
3-к. квартира,51,2,5,Улица Дыбенко ,11–15,nan,Агентство,35000,nan
Квартира-студия,21,18,23,Комендантский проспект ,31,nan,Агентство,25000,nan
2-к. квартира,76,4,11,Площадь А Невского II ,16–20,nan,Агентство,55000,nan
3-к. квартира,68,1,10,Гражданский проспект ,16–20,nan,Агентство,45000,nan
1-к. квартира,36,5,9,Проспект Ветеранов ,21–30,nan,Агентство,16000,nan
1-к. квартира,34,18,19,Ломоносовская ,11–15,nan,Агентство,38000,nan
1-к. квартира,35.3,6,28,Парнас ,21–30,nan,Агентство,20000,nan
3-к. квартира,96,3,5,Озерки ,21–30,nan,Агентство,80000,nan
2-к. квартира,60,3,16,Приморская ,6–10,nan,Агентство,50000,nan
3-к. квартира,56,4,5,Новочеркасская ,21–30,nan,Агентство,30000,nan
2-к. квартира,50,1,5,Звёздная ,11–15,nan,Агентство,28000,nan
Квартира-студия,24,2,5,nan,nan,р-н Московский,Агентство,19500,nan
1-к. квартира,34.5,15,16,nan,nan,р-н Красносельский,Агентство,27000,nan
Квартира-студия,31,11,12,Комендантский проспект ,21–30,nan,Агентство,30000,nan
2-к. квартира,42,3,5,Московские ворота ,6–10,nan,Агентство,35000,nan
1-к. квартира,35,7,20,Комендантский проспект ,31,nan,Агентство,23000,nan
2-к. квартира,33,4,5,Сенная площадь ,5,nan,Агентство,45000,nan
Квартира-студия,27,17,19,Парнас ,21–30,nan,Агентство,19500,nan
2-к. квартира,56,6,9,nan,nan,Пушкин,Агентство,25000,nan
Квартира-студия,28,16,23,Рыбацкое ,21–30,nan,Агентство,18000,nan
3-к. квартира,43,3,4,Чернышевская ,11–15,nan,Агентство,49000,nan
1-к. квартира,42,2,18,Озерки ,16–20,nan,Агентство,25000,nan
Квартира-студия,25,1,25,nan,nan,р-н Приморский,Агентство,25000,nan
1-к. квартира,43,5,9,Проспект Ветеранов ,31,nan,Агентство,23000,nan
2-к. квартира,48,6,9,Улица Дыбенко ,6–10,nan,Агентство,28000,nan
Квартира-студия,25.4,3,14,nan,nan,р-н Приморский,Агентство,20000,nan
2-к. квартира,66,9,12,Комендантский проспект ,31,nan,Агентство,50000,nan
Квартира-студия,25,10,25,nan,nan,р-н Приморский,Агентство,21000,nan
Квартира-студия,25,13,26,Проспект Просвещения ,21–30,nan,Агентство,19000,nan
1-к. квартира,37,2,6,nan,nan,Пушкин,Агентство,18000,nan
Квартира-студия,25,13,16,Гражданский проспект ,16–20,nan,Агентство,20000,nan
2-к. квартира,45,4,6,Лиговский проспект ,6–10,nan,Агентство,60000,nan
1-к. квартира,37.1,5,5,nan,nan,Петергоф,Агентство,20000,nan
1-к. квартира,32,6,9,Академическая ,21–30,nan,Агентство,22400,nan
2-к. квартира,60,10,25,Комендантский проспект ,21–30,nan,Агентство,42000,nan
3-к. квартира,80,4,5,Площадь Восстания ,11–15,nan,Агентство,70000,nan
1-к. квартира,41,2,8,Старая деревня ,11–15,nan,Агентство,45000,nan
1-к. квартира,36,12,18,Московская ,16–20,nan,Агентство,35000,nan
1-к. квартира,37,1,10,Беговая ,6–10,nan,Агентство,20000,nan
1-к. квартира,33,10,13,nan,nan,р-н Приморский,Агентство,21000,nan
1-к. квартира,44,3,25,Пионерская ,16–20,nan,Агентство,28000,nan
1-к. квартира,40,4,15,Московская ,11–15,nan,Агентство,45000,nan
1-к. квартира,42,12,12,nan,nan,пос. Шушары,Агентство,18000,nan
2-к. квартира,54,17,19,Пионерская ,11–15,nan,Агентство,45000,nan
1-к. квартира,32,4,5,nan,nan,Пушкин,Агентство,19000,nan
Квартира-студия,25,11,12,nan,nan,р-н Красносельский,Агентство,19000,nan
1-к. квартира,60,6,6,Площадь Восстания ,11–15,nan,Агентство,55000,nan
1-к. квартира,37,3,9,nan,nan,Сестрорецк,Агентство,18000,nan
2-к. квартира,50,9,12,Василеостровская ,21–30,nan,Агентство,55000,nan
1-к. квартира,45,14,19,Электросила ,5,nan,Агентство,40000,nan
2-к. квартира,59.1,18,18,Автово ,31,nan,Агентство,30000,nan
Квартира-студия,26,5,8,Звёздная ,21–30,nan,Агентство,25000,nan
1-к. квартира,45,3,6,Лиговский проспект ,6–10,nan,Агентство,42000,nan
1-к. квартира,34,3,5,Сенная площадь ,6–10,nan,Агентство,30000,nan
3-к. квартира,78,24,25,Проспект Просвещения ,16–20,nan,Агентство,50000,nan
1-к. квартира,45,4,25,Звёздная ,11–15,nan,Агентство,40000,nan
Квартира-студия,32,5,10,Фрунзенская ,11–15,nan,Агентство,37000,nan
2-к. квартира,64,3,17,Фрунзенская ,11–15,nan,Агентство,60000,nan
2-к. квартира,56,5,9,nan,nan,пос. Шушары,Агентство,24000,nan
3-к. квартира,80,5,14,Фрунзенская ,6–10,nan,Агентство,80000,nan
Квартира-студия,21,4,25,Озерки ,31,nan,Агентство,16000,nan
Квартира-студия,28,2,17,Купчино ,31,nan,Агентство,18000,nan
1-к. квартира,36,15,25,Купчино ,31,nan,Агентство,20000,nan
2-к. квартира,49,2,9,Проспект Ветеранов ,6–10,nan,Агентство,35000,nan
Квартира-студия,25,13,24,nan,nan,р-н Красносельский,Агентство,15000,nan
1-к. квартира,33,8,16,Комендантский проспект ,31,nan,Агентство,35000,nan
1-к. квартира,63,3,9,Беговая ,16–20,nan,Агентство,50000,nan
1-к. квартира,45,9,10,Международная ,16–20,nan,Агентство,24500,nan
1-к. квартира,41,4,4,Гостиный двор ,11–15,nan,Агентство,58000,nan
Квартира-студия,21,9,11,Рыбацкое ,21–30,nan,Агентство,19000,nan
1-к. квартира,40,11,17,Приморская ,21–30,nan,Агентство,40000,nan
2-к. квартира,64.6,5,7,Московская ,5,nan,Агентство,38000,nan
1-к. квартира,31,9,9,Озерки ,21–30,nan,Агентство,18000,nan
1-к. квартира,29.8,12,25,Комендантский проспект ,31,nan,Агентство,23000,nan
Квартира-студия,24.4,16,20,Комендантский проспект ,31,nan,Агентство,21000,nan
1-к. квартира,36,2,5,Академическая ,31,nan,Агентство,20000,nan
2-к. квартира,80,5,14,Новочеркасская ,6–10,nan,Агентство,70000,nan
3-к. квартира,68,14,23,Улица Дыбенко ,21–30,nan,Агентство,40000,nan
Квартира-студия,11,1,5,Обводный канал ,6–10,nan,Агентство,21900,nan
Квартира-студия,15,3,5,Достоевская ,6–10,nan,Агентство,32000,nan
1-к. квартира,35,8,23,Академическая ,31,nan,Агентство,30000,nan
