Type,m2_size,floor,maxfloor,metro,distance,district,applicant,price,string
Квартира-студия,27,4,14,nan,nan,р-н Приморский,Собственник,25000,nan
2-к. квартира,55,4,5,Гражданский проспект ,6–10,nan,Собственник,35000,nan
Апартаменты-студия,24,13,18,Бухарестская ,5,nan,Собственник,33000,nan
1-к. квартира,37,4,8,nan,nan,р-н Красносельский,Собственник,23000,nan
Квартира-студия,25,4,5,nan,nan,р-н Московский,Собственник,20000,nan
2-к. квартира,60,24,24,Площадь Мужества ,31,nan,Собственник,42000,nan
1-к. квартира,84,3,5,Чернышевская ,11–15,nan,Собственник,55000,nan
2-к. квартира,56,3,22,Пролетарская ,6–10,nan,Собственник,35000,nan
1-к. квартира,32.2,10,12,Проспект Ветеранов ,31,nan,Собственник,25000,nan
Квартира-студия,22,8,11,nan,nan,пос. Шушары,Собственник,22000,nan
3-к. квартира,83.5,4,5,Маяковская ,6–10,nan,Собственник,65000,nan
3-к. квартира,78.4,7,24,Парнас ,21–30,nan,Собственник,40000,nan
Квартира-студия,30,12,12,Московская ,16–20,nan,Собственник,35000,nan
3-к. квартира,100,9,16,Василеостровская ,21–30,nan,Собственник,79999,nan
1-к. квартира,34.4,5,16,Площадь Мужества ,21–30,nan,Собственник,29000,nan
3-к. квартира,75,2,3,Василеостровская ,6–10,nan,Собственник,65000,nan
3-к. квартира,70,4,5,Чкаловская ,5,nan,Собственник,90000,nan
Апартаменты-студия,18,7,19,Купчино ,5,nan,Собственник,25000,nan
Квартира-студия,24,11,11,Старая деревня ,6–10,nan,Собственник,40000,nan
3-к. квартира,122,2,9,Фрунзенская ,6–10,nan,Собственник,104800,nan
1-к. квартира,38,1,5,nan,nan,пос. Шушары,Собственник,30000,nan
1-к. квартира,35,3,12,Московская ,16–20,nan,Собственник,29000,nan
1-к. квартира,34,9,10,nan,nan,р-н Красносельский,Собственник,25000,nan
1-к. квартира,30,3,3,Академическая ,6–10,nan,Собственник,35000,nan
2-к. квартира,110,6,6,Горьковская ,6–10,nan,Собственник,70000,nan
2-к. квартира,47,1,8,nan,nan,р-н Красносельский,Собственник,27000,nan
4-к. квартира,110,4,6,Ломоносовская ,6–10,nan,Собственник,69000,nan
1-к. квартира,39,5,6,nan,nan,Сестрорецк,Собственник,45000,nan
1-к. квартира,33.7,7,10,nan,nan,р-н Красносельский,Собственник,31000,nan
Квартира-студия,25,2,12,Василеостровская ,21–30,nan,Собственник,60000,nan
5-к. квартира,128,25,26,Купчино ,31,nan,Собственник,60000,nan
1-к. квартира,35,9,24,Комендантский проспект ,31,nan,Собственник,30000,nan
Квартира-студия,37,3,25,Беговая ,21–30,nan,Собственник,47000,nan
1-к. апартаменты,40,2,21,nan,nan,Сестрорецк,Собственник,150000,nan
2-к. квартира,78,23,24,Звёздная ,11–15,nan,Собственник,45000,nan
1-к. квартира,45.4,14,19,Фрунзенская ,11–15,nan,Собственник,42000,nan
1-к. квартира,38,19,27,Рыбацкое ,21–30,nan,Собственник,37000,nan
1-к. квартира,35,4,4,nan,nan,Пушкин,Собственник,37000,nan
2-к. квартира,51.9,9,16,Ладожская ,31,nan,Собственник,40000,nan
2-к. квартира,41.7,4,5,nan,nan,пос. Песочный,Собственник,30000,nan
3-к. квартира,78,2,3,nan,nan,Сестрорецк,Собственник,45000,nan
1-к. квартира,39,14,25,Пролетарская ,16–20,nan,Собственник,33000,nan
1-к. квартира,39,6,11,Приморская ,16–20,nan,Собственник,34000,nan
2-к. квартира,60,5,9,Приморская ,11–15,nan,Собственник,43000,nan
Апартаменты-студия,43,3,6,Площадь А Невского I ,6–10,nan,Собственник,69000,nan
2-к. квартира,53,5,12,Елизаровская ,31,nan,Собственник,50000,nan
3-к. квартира,76.8,2,4,nan,nan,Сестрорецк,Собственник,69000,nan
2-к. квартира,63,3,4,nan,nan,Сестрорецк,Собственник,38900,nan
