Type,m2_size,floor,maxfloor,metro,distance,district,applicant,price,string
3-к. квартира,74,7,11,Приморская ,21–30,nan,Собственник,65000,nan
2-к. квартира,44,1,5,nan,nan,р-н Красносельский,Собственник,25000,nan
1-к. квартира,35,15,17,nan,nan,Сестрорецк,Собственник,35000,nan
Квартира-студия,32,9,25,Комендантский проспект ,31,nan,Собственник,25000,nan
1-к. квартира,22,1,5,Василеостровская ,5,nan,Собственник,32000,nan
Квартира-студия,27,13,28,Проспект Просвещения ,21–30,nan,Собственник,26000,nan
2-к. квартира,85,2,3,Беговая ,31,nan,Собственник,120000,nan
1-к. квартира,35.6,7,25,Беговая ,21–30,nan,Собственник,29900,nan
1-к. квартира,39,6,18,Звёздная ,16–20,nan,Собственник,29000,nan
1-к. квартира,36,4,14,Ладожская ,6–10,nan,Собственник,35000,nan
3-к. квартира,120,4,7,Площадь А Невского I ,16–20,nan,Собственник,140000,nan
1-к. квартира,39.1,3,15,Улица Дыбенко ,21–30,nan,Собственник,32000,nan
1-к. квартира,36,1,17,Комендантский проспект ,31,nan,Собственник,26000,nan
Квартира-студия,32,8,8,nan,nan,р-н Красносельский,Собственник,21000,nan
1-к. квартира,35.5,6,9,Дунайская ,6–10,nan,Собственник,26000,nan
Квартира-студия,29,4,18,Приморская ,31,nan,Собственник,25000,nan
Квартира-студия,25.6,13,24,Комендантский проспект ,31,nan,Собственник,25000,nan
2-к. квартира,67,14,27,Парнас ,6–10,nan,Собственник,35000,nan
2-к. квартира,45,1,4,nan,nan,Павловск,Собственник,25000,nan
2-к. квартира,82,17,25,Беговая ,11–15,nan,Собственник,55000,nan
1-к. квартира,34,2,19,nan,nan,р-н Красносельский,Собственник,25000,nan
1-к. квартира,50,7,12,Беговая ,11–15,nan,Собственник,35000,nan
1-к. квартира,43.5,6,22,nan,nan,р-н Красносельский,Собственник,40000,nan
1-к. квартира,33.5,5,9,Улица Дыбенко ,6–10,nan,Собственник,27000,nan
1-к. квартира,35,21,23,Обухово ,31,nan,Собственник,25000,nan
3-к. квартира,59,3,5,Улица Дыбенко ,16–20,nan,Собственник,40000,nan
1-к. квартира,47,7,12,Горьковская ,6–10,nan,Собственник,70000,nan
2-к. квартира,100,2,7,Чернышевская ,6–10,nan,Собственник,60000,nan
1-к. квартира,47,12,26,Гражданский проспект ,31,nan,Собственник,40000,nan
2-к. квартира,45,5,5,Парк Победы ,16–20,nan,Собственник,40000,nan
2-к. квартира,60,7,9,Гражданский проспект ,11–15,nan,Собственник,31000,nan
2-к. квартира,60,2,7,Ломоносовская ,21–30,nan,Собственник,40000,nan
2-к. квартира,59.8,15,24,Звёздная ,31,nan,Собственник,45000,nan
1-к. квартира,35,18,19,Купчино ,11–15,nan,Собственник,35000,nan
3-к. квартира,102.1,2,8,Удельная ,6–10,nan,Собственник,90000,nan
2-к. квартира,76,3,5,Звенигородская ,6–10,nan,Собственник,70000,nan
2-к. квартира,55.9,10,13,Лесная ,11–15,nan,Собственник,55000,nan
1-к. квартира,38,2,22,Ладожская ,31,nan,Собственник,30000,nan
2-к. квартира,60,17,25,Купчино ,31,nan,Собственник,37000,nan
2-к. квартира,90,1,8,Приморская ,21–30,nan,Собственник,45000,nan
1-к. квартира,37.5,15,25,Проспект Славы ,16–20,nan,Собственник,30000,nan
3-к. квартира,130,4,5,nan,nan,Пушкин,Собственник,150000,nan
2-к. квартира,45,4,9,Гражданский проспект ,21–30,nan,Собственник,33000,nan
2-к. квартира,55,6,14,Приморская ,16–20,nan,Собственник,62000,nan
2-к. квартира,70,17,21,Чёрная речка ,11–15,nan,Собственник,145000,nan
1-к. квартира,37,8,16,Выборгская ,21–30,nan,Собственник,32000,nan
2-к. квартира,65,3,4,Площадь Восстания ,6–10,nan,Собственник,54999,nan
1-к. квартира,40,11,14,Проспект Ветеранов ,31,nan,Собственник,29000,nan
1-к. апартаменты,49,5,6,nan,nan,Сестрорецк,Собственник,80000,nan
3-к. квартира,138,11,14,Приморская ,16–20,nan,Собственник,90000,nan
2-к. квартира,65,8,14,Проспект Просвещения ,21–30,nan,Собственник,43500,nan
1-к. апартаменты,36,7,11,Площадь Мужества ,11–15,nan,Собственник,38000,nan
2-к. квартира,59.8,8,11,Площадь А Невского II ,16–20,nan,Собственник,135000,nan
1-к. квартира,41,17,19,Приморская ,31,nan,Собственник,40000,nan
Апартаменты-студия,26,12,23,Звёздная ,16–20,nan,Собственник,25000,nan
1-к. квартира,36,1,5,Кировский завод ,6–10,nan,Собственник,21000,nan
1-к. квартира,46,13,18,Звёздная ,21–30,nan,Собственник,27000,nan
2-к. квартира,44,1,5,Московская ,6–10,nan,Собственник,40000,nan
1-к. квартира,45,6,19,Беговая ,11–15,nan,Собственник,55000,nan
2-к. квартира,64,6,14,nan,nan,пос. Парголово,Собственник,25000,nan
Квартира-студия,27,6,8,Старая деревня ,11–15,nan,Собственник,32000,nan
2-к. квартира,74,15,22,Звёздная ,11–15,nan,Собственник,48000,nan
2-к. квартира,60.3,5,20,Парнас ,31,nan,Собственник,35000,nan
1-к. квартира,41,14,17,nan,nan,р-н Красносельский,Собственник,27500,nan
1-к. апартаменты,34,10,12,Старая деревня ,11–15,nan,Собственник,45000,nan
Квартира-студия,35,2,12,Рыбацкое ,31,nan,Собственник,21000,nan
1-к. квартира,38.8,13,21,Выборгская ,21–30,nan,Собственник,30000,nan
2-к. квартира,45,5,9,Проспект Ветеранов ,31,nan,Собственник,27000,nan
Квартира-студия,28,3,22,Комендантский проспект ,31,nan,Собственник,25000,nan
1-к. квартира,36,14,17,Комендантский проспект ,21–30,nan,Собственник,28000,nan
1-к. квартира,31,3,5,Ломоносовская ,31,nan,Собственник,22000,nan
Квартира-студия,24,6,9,Проспект Ветеранов ,21–30,nan,Собственник,25000,nan
1-к. квартира,42,6,9,Озерки ,11–15,nan,Собственник,22500,nan
1-к. квартира,41,3,10,Звёздная ,6–10,nan,Собственник,30000,nan
Квартира-студия,25,1,10,Проспект Ветеранов ,31,nan,Собственник,19500,nan
Квартира-студия,26.7,21,24,Обухово ,31,nan,Собственник,20000,nan
Квартира-студия,20,15,25,Гражданский проспект ,31,nan,Собственник,17000,nan
Квартира-студия,15,2,4,Чернышевская ,6–10,nan,Собственник,29900,nan
Квартира-студия,21,8,19,Парнас ,21–30,nan,Собственник,23000,nan
1-к. квартира,31,1,5,Новочеркасская ,11–15,nan,Собственник,23000,nan
Квартира-студия,28,3,12,nan,nan,р-н Красносельский,Собственник,21000,nan
Квартира-студия,28.3,15,16,Проспект Просвещения ,6–10,nan,Собственник,30000,nan
1-к. квартира,37.4,26,27,Парнас ,16–20,nan,Собственник,23000,nan
2-к. квартира,56.7,4,12,nan,nan,р-н Красносельский,Собственник,30000,nan
1-к. квартира,40.5,4,21,Академическая ,16–20,nan,Собственник,36000,nan
2-к. квартира,44,5,5,Чернышевская ,16–20,nan,Собственник,50000,nan
2-к. квартира,49,2,9,Проспект Просвещения ,21–30,nan,Собственник,29000,nan
2-к. квартира,52,4,4,Проспект Ветеранов ,5,nan,Собственник,35000,nan
1-к. квартира,34,2,4,nan,nan,р-н Красносельский,Собственник,30000,nan
Апартаменты-студия,27,4,12,Старая деревня ,11–15,nan,Собственник,27000,nan
1-к. квартира,38.4,10,16,Озерки ,16–20,nan,Собственник,22000,nan
Квартира-студия,25,7,12,nan,nan,р-н Красносельский,Собственник,19000,nan
1-к. квартира,31,4,9,Академическая ,11–15,nan,Собственник,23000,nan
Квартира-студия,25,8,12,nan,nan,р-н Красносельский,Собственник,18500,nan
2-к. квартира,50.6,2,9,Ладожская ,31,nan,Собственник,30000,nan
2-к. квартира,56,16,19,Площадь Мужества ,21–30,nan,Собственник,42000,nan
3-к. квартира,73.7,21,24,Звёздная ,21–30,nan,Собственник,50000,nan
Квартира-студия,25,19,25,Комендантский проспект ,31,nan,Собственник,22000,nan
1-к. квартира,30,3,9,Проспект Ветеранов ,31,nan,Собственник,20000,nan
Квартира-студия,29,6,20,Академическая ,16–20,nan,Собственник,25000,nan
1-к. квартира,38,7,12,Московская ,11–15,nan,Собственник,40000,nan
1-к. квартира,40,6,16,Приморская ,6–10,nan,Собственник,37000,nan
2-к. квартира,70,4,14,Пионерская ,6–10,nan,Собственник,40000,nan
Квартира-студия,27,12,15,Звёздная ,31,nan,Собственник,23000,nan
2-к. квартира,52.5,5,5,Выборгская ,31,nan,Собственник,35000,nan
Квартира-студия,25,5,8,nan,nan,р-н Красносельский,Собственник,20000,nan
1-к. квартира,31.5,5,5,nan,nan,пос. Стрельна,Собственник,25000,nan
1-к. квартира,30,7,9,Международная ,6–10,nan,Собственник,28000,nan
Квартира-студия,26,11,12,nan,nan,р-н Красносельский,Собственник,19000,nan
1-к. квартира,33,10,12,Проспект Просвещения ,21–30,nan,Собственник,23000,nan
1-к. квартира,39,6,25,nan,nan,р-н Красносельский,Собственник,28000,nan
2-к. квартира,44.3,5,5,Гражданский проспект ,31,nan,Собственник,35000,nan
1-к. квартира,35.8,1,15,Звёздная ,31,nan,Собственник,29000,nan
1-к. квартира,35.9,15,25,Гражданский проспект ,31,nan,Собственник,25000,nan
Квартира-студия,28,8,16,Девяткино ,6–10,nan,Собственник,22000,nan
2-к. квартира,54,6,10,Проспект Ветеранов ,16–20,nan,Собственник,25000,nan
1-к. квартира,32,3,9,Проспект Славы ,11–15,nan,Собственник,24000,nan
1-к. апартаменты,40,11,11,Приморская ,11–15,nan,Собственник,50000,nan
1-к. квартира,38.8,6,18,Беговая ,11–15,nan,Собственник,30000,nan
1-к. квартира,34.7,13,16,Проспект Ветеранов ,31,nan,Собственник,22000,nan
1-к. квартира,42,11,23,Академическая ,31,nan,Собственник,30000,nan
Квартира-студия,28,4,10,nan,nan,р-н Красносельский,Собственник,22000,nan
Квартира-студия,15,1,5,Выборгская ,31,nan,Собственник,19000,nan
2-к. квартира,43.2,9,11,Обводный канал ,11–15,nan,Собственник,50000,nan
2-к. квартира,69.2,5,13,Приморская ,11–15,nan,Собственник,80000,nan
Квартира-студия,30,1,5,Садовая ,5,nan,Собственник,35000,nan
3-к. квартира,54.4,3,5,nan,nan,Петергоф,Собственник,20000,nan
4-к. квартира,49,2,5,Автово ,11–15,nan,Собственник,30000,nan
Квартира-студия,27,11,22,nan,nan,р-н Красносельский,Собственник,23000,nan
Квартира-студия,26,12,12,nan,nan,р-н Красносельский,Собственник,19000,nan
2-к. квартира,52.5,5,8,Фрунзенская ,5,nan,Собственник,36000,nan
2-к. квартира,48,5,16,Московская ,16–20,nan,Собственник,45000,nan
2-к. квартира,48,8,9,Проспект Просвещения ,11–15,nan,Собственник,20000,nan
1-к. квартира,37,11,28,Парнас ,16–20,nan,Собственник,20000,nan
3-к. квартира,80,3,5,Площадь А Невского II ,5,nan,Собственник,55000,nan
Квартира-студия,24,3,8,nan,nan,р-н Красносельский,Собственник,13000,nan
1-к. квартира,26,5,9,Проспект Ветеранов ,16–20,nan,Собственник,20000,nan
1-к. квартира,38,14,25,Комендантский проспект ,31,nan,Собственник,30000,nan
1-к. квартира,35,2,3,nan,nan,Зеленогорск,Собственник,25000,nan
1-к. квартира,38,15,24,Комендантский проспект ,31,nan,Собственник,25000,nan
1-к. квартира,40.9,6,25,Парнас ,31,nan,Собственник,24000,nan
2-к. квартира,52,9,27,Парнас ,16–20,nan,Собственник,25000,nan
Квартира-студия,22,15,24,Комендантский проспект ,31,nan,Собственник,22000,nan
Квартира-студия,20,8,25,nan,nan,р-н Красногвардейский,Собственник,19000,nan
4-к. квартира,49,3,5,Ленинский проспект ,6–10,nan,Собственник,35000,nan
3-к. квартира,59,4,5,Международная ,6–10,nan,Собственник,36000,nan
1-к. квартира,37,3,10,Академическая ,21–30,nan,Собственник,25000,nan
Квартира-студия,25,3,12,nan,nan,р-н Красносельский,Собственник,20000,nan
2-к. квартира,51,3,3,Василеостровская ,21–30,nan,Собственник,45000,nan
1-к. квартира,36,25,25,Проспект Большевиков ,16–20,nan,Собственник,25000,nan
Квартира-студия,31,18,24,Ладожская ,11–15,nan,Собственник,30000,nan
2-к. квартира,47,1,5,nan,nan,р-н Калининский,Собственник,34000,nan
Квартира-студия,25,7,21,Ладожская ,11–15,nan,Собственник,28000,nan
2-к. квартира,44,4,6,Чернышевская ,11–15,nan,Собственник,42000,nan
1-к. квартира,45,6,8,nan,nan,р-н Красносельский,Собственник,35000,nan
3-к. квартира,42,2,5,Ленинский проспект ,6–10,nan,Собственник,35000,nan
2-к. квартира,70,5,7,Кировский завод ,6–10,nan,Собственник,60000,nan
2-к. квартира,65,6,13,Лесная ,11–15,nan,Собственник,65000,nan
2-к. квартира,45,1,5,Выборгская ,31,nan,Собственник,27000,nan
3-к. квартира,55.7,1,5,Парк Победы ,16–20,nan,Собственник,30000,nan
Квартира-студия,25.4,8,9,nan,nan,Ломоносов,Собственник,21000,nan
Апартаменты-студия,23,19,20,Парнас ,11–15,nan,Собственник,25000,nan
1-к. квартира,42,4,10,Старая деревня ,16–20,nan,Собственник,35000,nan
3-к. квартира,68,4,6,Садовая ,5,nan,Собственник,68000,nan
1-к. квартира,40,13,17,Озерки ,21–30,nan,Собственник,35000,nan
1-к. квартира,32,1,4,nan,nan,Красное Село,Собственник,15000,nan
Квартира-студия,30,18,20,Чёрная речка ,11–15,nan,Собственник,45000,nan
Квартира-студия,30,13,20,nan,nan,р-н Красносельский,Собственник,23000,nan
3-к. квартира,70,8,12,Приморская ,11–15,nan,Собственник,40000,nan
2-к. квартира,64,16,22,Беговая ,11–15,nan,Собственник,45000,nan
3-к. квартира,66.9,2,9,Проспект Просвещения ,21–30,nan,Собственник,32000,nan
Квартира-студия,23,5,19,Комендантский проспект ,31,nan,Собственник,25000,nan
1-к. квартира,39,10,17,nan,nan,р-н Красногвардейский,Собственник,28000,nan
1-к. квартира,35,8,25,Пионерская ,11–15,nan,Собственник,40000,nan
2-к. квартира,45.6,7,9,Проспект Просвещения ,6–10,nan,Собственник,25000,nan
1-к. квартира,34,2,12,Приморская ,5,nan,Собственник,24000,nan
1-к. квартира,46,6,25,Проспект Просвещения ,21–30,nan,Собственник,28000,nan
1-к. квартира,30,1,5,Чернышевская ,6–10,nan,Собственник,30000,nan
1-к. квартира,34,2,9,nan,nan,Сестрорецк,Собственник,29000,nan
Квартира-студия,24,18,19,Комендантский проспект ,31,nan,Собственник,24000,nan
1-к. квартира,37,16,25,nan,nan,р-н Красносельский,Собственник,24000,nan
1-к. квартира,45,9,13,Беговая ,21–30,nan,Собственник,27000,nan
3-к. квартира,60.2,6,9,nan,nan,Красное Село,Собственник,25000,nan
Квартира-студия,25,11,12,nan,nan,р-н Красносельский,Собственник,18000,nan
1-к. квартира,41,9,21,Проспект Большевиков ,11–15,nan,Собственник,32000,nan
Квартира-студия,28,1,12,nan,nan,городской пос. Новоселье,Собственник,18000,nan
Квартира-студия,19,2,21,nan,nan,р-н Красногвардейский,Собственник,16000,nan
1-к. квартира,30,7,9,Проспект Большевиков ,11–15,nan,Собственник,25000,nan
2-к. квартира,60,8,14,Улица Дыбенко ,6–10,nan,Собственник,35000,nan
1-к. квартира,41,2,7,Академическая ,11–15,nan,Собственник,24500,nan
Квартира-студия,21,1,5,nan,nan,р-н Красносельский,Собственник,11000,nan
1-к. квартира,41,8,10,Звёздная ,21–30,nan,Собственник,25000,nan
Квартира-студия,28,20,21,nan,nan,р-н Красносельский,Собственник,20000,nan
1-к. квартира,35,3,19,nan,nan,р-н Красносельский,Собственник,22000,nan
1-к. квартира,36,8,16,nan,nan,пос. Новогорелово,Собственник,22000,nan
2-к. квартира,56,3,5,Площадь Ленина ,5,nan,Собственник,38000,nan
2-к. квартира,44,18,25,Парнас ,21–30,nan,Собственник,33000,nan
2-к. квартира,44,18,25,Парнас ,21–30,nan,Собственник,33000,nan
1-к. квартира,37.8,6,25,Комендантский проспект ,31,nan,Собственник,25000,nan
1-к. квартира,32,17,24,Обухово ,31,nan,Собственник,21000,nan
3-к. квартира,86,5,5,nan,nan,Петергоф,Собственник,30000,nan
2-к. квартира,55,15,16,Комендантский проспект ,21–30,nan,Собственник,37000,nan
3-к. квартира,42,5,5,Ленинский проспект ,6–10,nan,Собственник,30000,nan
1-к. квартира,30,1,9,Проспект Славы ,6–10,nan,Собственник,20000,nan
3-к. квартира,56,5,7,Академическая ,11–15,nan,Собственник,35000,nan
2-к. квартира,57,20,25,Парнас ,21–30,nan,Собственник,26000,nan
1-к. квартира,53,3,11,Автово ,5,nan,Собственник,45000,nan
3-к. квартира,67,1,5,Чкаловская ,11–15,nan,Собственник,45000,nan
2-к. квартира,44,3,5,nan,nan,Пушкин,Собственник,24000,nan
2-к. квартира,72,5,9,Лиговский проспект ,5,nan,Собственник,80000,nan
Квартира-студия,20,1,12,Рыбацкое ,21–30,nan,Собственник,19000,nan
1-к. квартира,42,3,13,Лесная ,11–15,nan,Собственник,40000,nan
1-к. квартира,36,5,12,Комендантский проспект ,16–20,nan,Собственник,23000,nan
1-к. квартира,35,7,9,Проспект Ветеранов ,31,nan,Собственник,20000,nan
1-к. квартира,31,8,10,nan,nan,р-н Красносельский,Собственник,23000,nan
Квартира-студия,26,1,8,Площадь А Невского II ,11–15,nan,Собственник,40000,nan
2-к. квартира,55,18,25,Беговая ,21–30,nan,Собственник,35000,nan
1-к. квартира,32,3,5,Академическая ,31,nan,Собственник,20000,nan
1-к. квартира,38.1,3,5,nan,nan,р-н Красносельский,Собственник,30000,nan
2-к. квартира,40,2,9,Комендантский проспект ,16–20,nan,Собственник,35000,nan
1-к. квартира,33,2,3,Балтийская ,16–20,nan,Собственник,27000,nan
1-к. квартира,35,5,8,nan,nan,р-н Красносельский,Собственник,24000,nan
Квартира-студия,25.4,8,9,nan,nan,Ломоносов,Собственник,21000,nan
2-к. квартира,51.5,1,4,Василеостровская ,11–15,nan,Собственник,38000,nan
Квартира-студия,25,23,25,nan,nan,р-н Приморский,Собственник,24000,nan
1-к. квартира,42,3,16,Ладожская ,16–20,nan,Собственник,27000,nan
1-к. квартира,44.1,1,6,Технологический инт I ,11–15,nan,Собственник,48000,nan
1-к. квартира,46,12,13,Выборгская ,31,nan,Собственник,35000,nan
4-к. квартира,48,4,5,Ленинский проспект ,6–10,nan,Собственник,35000,nan
1-к. квартира,37,2,27,Рыбацкое ,21–30,nan,Собственник,27000,nan
Квартира-студия,25,1,14,Приморская ,31,nan,Собственник,30000,nan
1-к. квартира,38,16,17,Улица Дыбенко ,21–30,nan,Собственник,25000,nan
Квартира-студия,22,2,5,Сенная площадь ,5,nan,Собственник,35000,nan
2-к. квартира,71,22,23,Купчино ,31,nan,Собственник,35000,nan
1-к. квартира,39,11,16,Проспект Большевиков ,11–15,nan,Собственник,20000,nan
3-к. квартира,55.7,2,5,Парк Победы ,21–30,nan,Собственник,38000,nan
3-к. квартира,60,5,9,Озерки ,11–15,nan,Собственник,39000,nan
1-к. квартира,31,1,5,Пионерская ,16–20,nan,Собственник,24000,nan
3-к. квартира,56,1,3,nan,nan,р-н Красносельский,Собственник,20000,nan
1-к. квартира,32,7,9,Академическая ,16–20,nan,Собственник,25000,nan
1-к. квартира,45,1,15,Проспект Ветеранов ,31,nan,Собственник,30000,nan
2-к. квартира,41.8,1,3,nan,nan,Павловск,Собственник,17000,nan
2-к. квартира,45,3,5,Гражданский проспект ,21–30,nan,Собственник,30000,nan
2-к. квартира,50,4,21,Комендантский проспект ,31,nan,Собственник,40000,nan
1-к. квартира,43,7,16,Проспект Ветеранов ,31,nan,Собственник,23000,nan
2-к. квартира,45.3,8,9,Электросила ,16–20,nan,Собственник,30000,nan
2-к. квартира,36,17,21,Академическая ,6–10,nan,Собственник,45000,nan
1-к. квартира,38,12,18,Купчино ,31,nan,Собственник,25000,nan
1-к. квартира,39,11,23,Озерки ,16–20,nan,Собственник,28000,nan
2-к. квартира,68,10,17,Беговая ,11–15,nan,Собственник,40000,nan
1-к. квартира,33,2,9,Приморская ,16–20,nan,Собственник,32000,nan
Квартира-студия,20,2,6,Горьковская ,6–10,nan,Собственник,30000,nan
Квартира-студия,30,2,6,Чернышевская ,11–15,nan,Собственник,37000,nan
2-к. квартира,78,13,25,Проспект Просвещения ,16–20,nan,Собственник,55000,nan
2-к. квартира,69,17,19,Пионерская ,16–20,nan,Собственник,40000,nan
Квартира-студия,27,15,23,Ладожская ,31,nan,Собственник,25000,nan
Апартаменты-студия,12,1,5,Лиговский проспект ,5,nan,Собственник,29000,nan
1-к. квартира,33,3,9,Проспект Ветеранов ,21–30,nan,Собственник,20000,nan
1-к. квартира,46,8,15,Купчино ,31,nan,Собственник,26000,nan
1-к. квартира,38,17,26,Парнас ,6–10,nan,Собственник,30000,nan
2-к. квартира,42,18,22,nan,nan,р-н Красносельский,Собственник,33000,nan
1-к. квартира,37,2,10,Беговая ,6–10,nan,Собственник,30000,nan
3-к. квартира,65,3,5,nan,nan,р-н Красносельский,Собственник,45000,nan
2-к. квартира,69.1,5,24,Академическая ,6–10,nan,Собственник,45000,nan
1-к. квартира,39.5,5,16,Проспект Ветеранов ,21–30,nan,Собственник,20000,nan
1-к. квартира,30,1,3,nan,nan,Зеленогорск,Собственник,18000,nan
2-к. квартира,60,6,7,Обводный канал ,5,nan,Собственник,60000,nan
1-к. квартира,37,20,25,Комендантский проспект ,11–15,nan,Собственник,28000,nan
3-к. квартира,144,4,8,Чкаловская ,16–20,nan,Собственник,375000,nan
2-к. квартира,50.3,15,19,Гражданский проспект ,31,nan,Собственник,26000,nan
1-к. квартира,33,1,20,Комендантский проспект ,31,nan,Собственник,23000,nan
1-к. квартира,41,2,12,Купчино ,6–10,nan,Собственник,30000,nan
Квартира-студия,26,3,5,nan,nan,р-н Московский,Собственник,22000,nan
3-к. квартира,89.2,6,17,Лесная ,16–20,nan,Собственник,62000,nan
1-к. квартира,42,2,3,Петроградская ,6–10,nan,Собственник,38000,nan
2-к. квартира,50,1,2,Чёрная речка ,16–20,nan,Собственник,35000,nan
1-к. квартира,40,20,20,Проспект Просвещения ,6–10,nan,Собственник,45000,nan
3-к. квартира,85,5,16,Проспект Ветеранов ,16–20,nan,Собственник,50000,nan
1-к. квартира,47.9,1,5,nan,nan,Пушкин,Собственник,26000,nan
1-к. квартира,34,5,11,nan,nan,Колпино,Собственник,18000,nan
1-к. квартира,35,9,24,Купчино ,31,nan,Собственник,25000,nan
1-к. квартира,30,9,24,Комендантский проспект ,31,nan,Собственник,28000,nan
Квартира-студия,30,4,23,nan,nan,р-н Красногвардейский,Собственник,24000,nan
1-к. квартира,40,24,27,Парнас ,16–20,nan,Собственник,25000,nan
1-к. квартира,40,9,25,Улица Дыбенко ,21–30,nan,Собственник,35000,nan
1-к. квартира,31,1,3,nan,nan,р-н Красносельский,Собственник,18000,nan
Квартира-студия,27,20,27,Проспект Просвещения ,21–30,nan,Собственник,25000,nan
1-к. квартира,38.2,13,27,Парнас ,16–20,nan,Собственник,27000,nan
1-к. квартира,33.8,2,2,nan,nan,Петергоф,Собственник,45000,nan
1-к. квартира,34.5,8,25,Рыбацкое ,31,nan,Собственник,24000,nan
1-к. квартира,42,14,16,nan,nan,пос. Новогорелово,Собственник,25000,nan
Квартира-студия,23,12,16,Ломоносовская ,31,nan,Собственник,25000,nan
1-к. квартира,35,5,9,nan,nan,р-н Красносельский,Собственник,17000,nan
1-к. квартира,44.2,9,17,Звёздная ,16–20,nan,Собственник,25000,nan
Квартира-студия,26,13,25,Обухово ,31,nan,Собственник,20000,nan
Квартира-студия,31,5,19,Гражданский проспект ,31,nan,Собственник,20000,nan
1-к. квартира,36,3,9,nan,nan,Красное Село,Собственник,18000,nan
1-к. квартира,38,3,5,Петроградская ,6–10,nan,Собственник,35000,nan
2-к. квартира,57,6,20,Девяткино ,21–30,nan,Собственник,35000,nan
2-к. квартира,54,4,12,Проспект Славы ,6–10,nan,Собственник,35000,nan
1-к. квартира,35,17,24,Парнас ,11–15,nan,Собственник,27000,nan
Квартира-студия,22,17,25,Парнас ,21–30,nan,Собственник,19000,nan
1-к. квартира,42,17,27,Парнас ,6–10,nan,Собственник,29000,nan
3-к. квартира,100,4,20,Озерки ,16–20,nan,Собственник,65000,nan
Квартира-студия,25,5,5,nan,nan,р-н Московский,Собственник,20000,nan
Квартира-студия,24,9,12,Парк Победы ,21–30,nan,Собственник,28000,nan
1-к. квартира,40.2,5,5,nan,nan,р-н Приморский,Собственник,23000,nan
1-к. квартира,50,4,4,nan,nan,Пушкин,Собственник,25000,nan
Квартира-студия,25,5,5,nan,nan,р-н Московский,Собственник,20000,nan
1-к. квартира,37,4,6,Комендантский проспект ,21–30,nan,Собственник,20000,nan
2-к. квартира,40,10,12,Московская ,21–30,nan,Собственник,35000,nan
Квартира-студия,24,19,25,Комендантский проспект ,31,nan,Собственник,22000,nan
1-к. квартира,31.9,5,6,nan,nan,пос. Шушары,Собственник,20000,nan
1-к. квартира,38,14,20,nan,nan,р-н Красносельский,Собственник,28000,nan
Квартира-студия,18,5,13,Чёрная речка ,11–15,nan,Собственник,21000,nan
1-к. квартира,31,7,9,Академическая ,21–30,nan,Собственник,22000,nan
2-к. квартира,67,16,22,Проспект Ветеранов ,31,nan,Собственник,33000,nan
1-к. квартира,37,5,9,Площадь Мужества ,11–15,nan,Собственник,40000,nan
1-к. квартира,36,18,23,Академическая ,31,nan,Собственник,30000,nan
1-к. квартира,37,5,16,Выборгская ,21–30,nan,Собственник,35000,nan
Квартира-студия,23,4,24,Комендантский проспект ,31,nan,Собственник,25000,nan
2-к. квартира,55,4,5,Чернышевская ,21–30,nan,Собственник,45000,nan
1-к. квартира,36,5,5,Чёрная речка ,6–10,nan,Собственник,30000,nan
1-к. квартира,43,9,15,Приморская ,11–15,nan,Собственник,40000,nan
2-к. квартира,43,2,5,nan,nan,Петергоф,Собственник,20000,nan
1-к. квартира,41,5,12,Парк Победы ,6–10,nan,Собственник,30000,nan
1-к. квартира,32.5,3,9,Гражданский проспект ,16–20,nan,Собственник,23000,nan
2-к. квартира,44,3,5,Академическая ,21–30,nan,Собственник,30000,nan
1-к. квартира,42,10,16,Комендантский проспект ,16–20,nan,Собственник,25000,nan
1-к. квартира,32,12,12,Проспект Просвещения ,6–10,nan,Собственник,21000,nan
3-к. квартира,54,2,5,Садовая ,21–30,nan,Собственник,55000,nan
Квартира-студия,23.4,15,25,Беговая ,11–15,nan,Собственник,28000,nan
1-к. квартира,36,9,12,Старая деревня ,21–30,nan,Собственник,40000,nan
1-к. квартира,40,8,17,Приморская ,6–10,nan,Собственник,38000,nan
Квартира-студия,29,7,12,Приморская ,16–20,nan,Собственник,30000,nan
3-к. квартира,60,1,12,Рыбацкое ,16–20,nan,Собственник,32000,nan
2-к. квартира,59,3,4,Технологический инт I ,11–15,nan,Собственник,50000,nan
Квартира-студия,26,23,25,Площадь Мужества ,31,nan,Собственник,30000,nan
1-к. квартира,35,6,14,nan,nan,р-н Красносельский,Собственник,21000,nan
2-к. квартира,62.7,3,18,Девяткино ,21–30,nan,Собственник,30000,nan
3-к. квартира,55.6,4,5,Звёздная ,31,nan,Собственник,37000,nan
1-к. квартира,35,2,9,Академическая ,31,nan,Собственник,25000,nan
2-к. квартира,80,5,8,Горьковская ,11–15,nan,Собственник,70000,nan
1-к. квартира,37,9,9,nan,nan,р-н Красносельский,Собственник,22000,nan
Квартира-студия,22.6,5,12,Лесная ,6–10,nan,Собственник,30000,nan
1-к. квартира,37,11,17,Проспект Большевиков ,21–30,nan,Собственник,27000,nan
2-к. квартира,55,9,12,Комендантский проспект ,5,nan,Собственник,35000,nan
1-к. квартира,31,5,5,Пролетарская ,21–30,nan,Собственник,25000,nan
2-к. квартира,58,21,25,Улица Дыбенко ,21–30,nan,Собственник,35000,nan
Квартира-студия,24.3,4,15,nan,nan,р-н Приморский,Собственник,20000,nan
